SIZE,VICTIM,CRIME,TIME,PLACE,MOTIVE,WEAPON,BANDIT
3,Sleepy Bees,Mud Trick,Lunch,Cloud City,Bored,Banana Mic,Farmer Zoom
4,Angry Duck,Quack Fraud,Evening,Ocean Bed,New Trend,Soda Spray,Count Cluck
4,Nervous Pigs,Honey Heist,Lunch,Sand Pit,Lost Bet,Fork Dart,DJ Whisker
4,Cool Cats,Pie Theft,Lunch,Pond Bank,Bored,Taco Blade,Bear Hug
1,Sleepy Bees,Moo Theft,Midnight,Picnic Rug,Needed Milk,Sticky Net,DJ Whisker
1,Chill Frogs,Quack Fraud,Tea Time,Forest Den,Wanted Fame,Cheese Ray,Kid Scout
1,Worried Fish,Honey Heist,Midnight,Pond Bank,Needed Milk,Soda Spray,Kid Scout
4,Angry Duck,Quack Fraud,Midnight,Barn Roof,Bored,Taco Blade,Farmer Zoom
5,Cool Cats,Pie Theft,Evening,Ocean Bed,Hungry,Melon Wand,Nurse Bee
4,Cool Cats,Leaf Scam,Tea Time,Barn Roof,Cold Feet,Fork Dart,Farmer Zoom
5,Angry Duck,Leaf Scam,Twilight,Pond Bank,Wanted Fame,Banana Mic,Chef Floof
1,Cool Cats,Pie Theft,Midnight,Sand Pit,Bored,Feather Pen,Sir Bark
5,Lazy Cows,Moo Theft,Dawn,Barn Roof,Bored,Sticky Net,Farmer Zoom
2,Angry Duck,Pie Theft,Evening,Flower Lot,Cold Feet,Bubble Gun,Queen Antsy
1,Happy Goats,Pie Theft,Tea Time,Picnic Rug,Felt Blue,Banana Mic,Agent Leaf
2,Worried Fish,Moo Theft,Lunch,Ocean Bed,Lost Bet,Taco Blade,Count Cluck
5,Nervous Pigs,Sock Swap,Nap Time,Picnic Rug,Cold Feet,Soda Spray,Chef Floof
1,Bored Dogs,Sock Swap,Sunrise,Barn Roof,Cold Feet,Sticky Net,Kid Scout
2,Bored Dogs,Sock Swap,Evening,Mud Field,Wanted Fame,Banana Mic,Farmer Zoom
1,Cool Cats,Quack Fraud,Lunch,Flower Lot,Felt Blue,Taco Blade,Sir Bark
5,Cool Cats,Jazz Theft,Twilight,Flower Lot,Lost Bet,Fork Dart,Agent Leaf
2,Angry Duck,Moo Theft,Evening,Picnic Rug,Hungry,Cheese Ray,DJ Whisker
2,Happy Goats,Pie Theft,Lunch,Forest Den,Lost Bet,Soda Spray,Chef Floof
2,Lazy Cows,Moo Theft,Midnight,Picnic Rug,Too Sweet,Feather Pen,Bear Hug
5,Angry Duck,Corn Con,Evening,Ocean Bed,Felt Blue,Fork Dart,DJ Whisker
5,Worried Fish,Moo Theft,Evening,Mud Field,Bored,Sticky Net,Nurse Bee
3,Lazy Cows,Pie Theft,Snack Time,Alley Jam,Hungry,Bread Bomb,Queen Antsy
4,Chill Frogs,Honey Heist,Twilight,Pond Bank,Hungry,Soda Spray,Sir Bark
5,Nervous Pigs,Crumb Raid,Dawn,Picnic Rug,Hungry,Soda Spray,Bear Hug
4,Bored Dogs,Sock Swap,Evening,Pond Bank,Hungry,Cheese Ray,Sir Bark
5,Angry Duck,Crumb Raid,Noon,Ocean Bed,New Trend,Bread Bomb,Chef Floof
2,Bored Dogs,Mud Trick,Twilight,Barn Roof,Lost Bet,Feather Pen,Kid Scout
1,Happy Goats,Crumb Raid,Nap Time,Picnic Rug,Curious,Taco Blade,Bear Hug
4,Worried Fish,Jazz Theft,Snack Time,Sand Pit,Too Sweet,Taco Blade,Bear Hug
4,Cool Cats,Honey Heist,Nap Time,Mud Field,Wanted Fame,Feather Pen,Kid Scout
5,Nervous Pigs,Honey Heist,Sunrise,Cloud City,Curious,Bubble Gun,Nurse Bee
4,Bored Dogs,Leaf Scam,Sunrise,Pond Bank,New Trend,Sticky Net,Queen Antsy
2,Sleepy Bees,Mud Trick,Tea Time,Cloud City,New Trend,Sticky Net,Nurse Bee
3,Chill Frogs,Sock Swap,Nap Time,Mud Field,Too Sweet,Soda Spray,Count Cluck
1,Chill Frogs,Pie Theft,Dawn,Ocean Bed,Wanted Fame,Bread Bomb,DJ Whisker
2,Nervous Pigs,Moo Theft,Midnight,Picnic Rug,Needed Milk,Banana Mic,Queen Antsy
4,Chill Frogs,Moo Theft,Twilight,Sand Pit,Curious,Melon Wand,Kid Scout
5,Cool Cats,Honey Heist,Nap Time,Alley Jam,Bored,Sticky Net,DJ Whisker
3,Angry Duck,Moo Theft,Tea Time,Flower Lot,New Trend,Melon Wand,Farmer Zoom
5,Lazy Cows,Quack Fraud,Noon,Picnic Rug,Curious,Fork Dart,Bear Hug
3,Sleepy Bees,Quack Fraud,Evening,Barn Roof,Bored,Bread Bomb,Agent Leaf
5,Nervous Pigs,Pie Theft,Midnight,Flower Lot,Wanted Fame,Bread Bomb,DJ Whisker
3,Worried Fish,Crumb Raid,Twilight,Ocean Bed,Felt Blue,Bread Bomb,Agent Leaf
1,Nervous Pigs,Quack Fraud,Nap Time,Sand Pit,Bored,Sticky Net,Sir Bark
5,Cool Cats,Jazz Theft,Nap Time,Flower Lot,Felt Blue,Taco Blade,Agent Leaf
4,Bored Dogs,Pie Theft,Evening,Pond Bank,Cold Feet,Cheese Ray,Farmer Zoom
3,Angry Duck,Honey Heist,Noon,Sand Pit,Bored,Soda Spray,Count Cluck
1,Worried Fish,Jazz Theft,Sunrise,Pond Bank,Too Sweet,Feather Pen,Farmer Zoom
4,Bored Dogs,Moo Theft,Tea Time,Alley Jam,Wanted Fame,Melon Wand,DJ Whisker
5,Sleepy Bees,Honey Heist,Nap Time,Flower Lot,Too Sweet,Melon Wand,Farmer Zoom
1,Happy Goats,Pie Theft,Lunch,Forest Den,Too Sweet,Bubble Gun,Chef Floof
4,Drunk Ants,Honey Heist,Tea Time,Flower Lot,Felt Blue,Soda Spray,Chef Floof
1,Worried Fish,Honey Heist,Tea Time,Ocean Bed,Felt Blue,Fork Dart,Sir Bark
2,Cool Cats,Pie Theft,Midnight,Barn Roof,Needed Milk,Soda Spray,Count Cluck
4,Drunk Ants,Honey Heist,Noon,Pond Bank,Cold Feet,Banana Mic,Chef Floof
3,Lazy Cows,Jazz Theft,Midnight,Barn Roof,Too Sweet,Sticky Net,Bear Hug
5,Chill Frogs,Mud Trick,Midnight,Cloud City,New Trend,Cheese Ray,Bear Hug
5,Worried Fish,Crumb Raid,Lunch,Sand Pit,Felt Blue,Melon Wand,Chef Floof
4,Happy Goats,Pie Theft,Sunrise,Picnic Rug,Felt Blue,Melon Wand,Queen Antsy
3,Angry Duck,Crumb Raid,Noon,Sand Pit,Felt Blue,Soda Spray,Agent Leaf
3,Nervous Pigs,Jazz Theft,Sunrise,Forest Den,Cold Feet,Taco Blade,Kid Scout
4,Cool Cats,Sock Swap,Tea Time,Sand Pit,New Trend,Fork Dart,Bear Hug
2,Bored Dogs,Crumb Raid,Dawn,Sand Pit,Bored,Fork Dart,Sir Bark
1,Worried Fish,Jazz Theft,Evening,Mud Field,Wanted Fame,Taco Blade,Count Cluck
4,Happy Goats,Leaf Scam,Tea Time,Ocean Bed,Felt Blue,Fork Dart,Sir Bark
2,Bored Dogs,Crumb Raid,Nap Time,Pond Bank,Needed Milk,Bread Bomb,DJ Whisker
3,Happy Goats,Jazz Theft,Snack Time,Ocean Bed,Needed Milk,Cheese Ray,Agent Leaf
4,Angry Duck,Sock Swap,Snack Time,Flower Lot,Curious,Soda Spray,Nurse Bee
1,Lazy Cows,Sock Swap,Lunch,Flower Lot,Hungry,Taco Blade,Nurse Bee
4,Drunk Ants,Moo Theft,Dawn,Alley Jam,Curious,Taco Blade,Agent Leaf
5,Angry Duck,Pie Theft,Evening,Pond Bank,New Trend,Bread Bomb,Chef Floof
4,Bored Dogs,Crumb Raid,Midnight,Cloud City,Curious,Melon Wand,Count Cluck
5,Cool Cats,Sock Swap,Nap Time,Barn Roof,Needed Milk,Feather Pen,Queen Antsy
4,Bored Dogs,Jazz Theft,Tea Time,Pond Bank,Cold Feet,Sticky Net,Chef Floof
4,Happy Goats,Corn Con,Evening,Ocean Bed,Too Sweet,Melon Wand,DJ Whisker
3,Cool Cats,Sock Swap,Twilight,Mud Field,Curious,Fork Dart,Kid Scout
2,Bored Dogs,Corn Con,Noon,Forest Den,Curious,Bubble Gun,Count Cluck
3,Drunk Ants,Sock Swap,Tea Time,Cloud City,New Trend,Bubble Gun,Bear Hug
2,Angry Duck,Crumb Raid,Nap Time,Barn Roof,Wanted Fame,Melon Wand,Nurse Bee
4,Bored Dogs,Pie Theft,Tea Time,Sand Pit,Hungry,Melon Wand,Chef Floof
4,Bored Dogs,Quack Fraud,Dawn,Cloud City,Hungry,Bubble Gun,Queen Antsy
1,Cool Cats,Crumb Raid,Lunch,Mud Field,Bored,Bread Bomb,Bear Hug
3,Drunk Ants,Mud Trick,Sunrise,Sand Pit,Too Sweet,Soda Spray,Count Cluck
5,Chill Frogs,Honey Heist,Noon,Alley Jam,Too Sweet,Feather Pen,DJ Whisker
1,Chill Frogs,Leaf Scam,Snack Time,Sand Pit,Needed Milk,Feather Pen,DJ Whisker
5,Bored Dogs,Quack Fraud,Sunrise,Cloud City,New Trend,Fork Dart,Agent Leaf
4,Cool Cats,Leaf Scam,Tea Time,Flower Lot,Too Sweet,Fork Dart,Queen Antsy
1,Sleepy Bees,Corn Con,Evening,Mud Field,Too Sweet,Melon Wand,DJ Whisker
1,Nervous Pigs,Honey Heist,Tea Time,Cloud City,Cold Feet,Feather Pen,Kid Scout
4,Angry Duck,Crumb Raid,Snack Time,Picnic Rug,Needed Milk,Fork Dart,Queen Antsy
4,Worried Fish,Crumb Raid,Midnight,Flower Lot,Cold Feet,Taco Blade,Nurse Bee
4,Lazy Cows,Honey Heist,Midnight,Barn Roof,Lost Bet,Fork Dart,Farmer Zoom
4,Nervous Pigs,Honey Heist,Lunch,Picnic Rug,Felt Blue,Bread Bomb,Kid Scout
3,Happy Goats,Pie Theft,Lunch,Pond Bank,Lost Bet,Fork Dart,Farmer Zoom
1,Drunk Ants,Jazz Theft,Lunch,Ocean Bed,Curious,Taco Blade,Queen Antsy
5,Nervous Pigs,Mud Trick,Snack Time,Flower Lot,Curious,Cheese Ray,DJ Whisker
1,Worried Fish,Crumb Raid,Tea Time,Sand Pit,Felt Blue,Bread Bomb,Kid Scout
5,Chill Frogs,Leaf Scam,Twilight,Flower Lot,Needed Milk,Fork Dart,Bear Hug
1,Nervous Pigs,Quack Fraud,Dawn,Flower Lot,Felt Blue,Soda Spray,Bear Hug
4,Happy Goats,Corn Con,Snack Time,Flower Lot,Wanted Fame,Melon Wand,DJ Whisker
4,Happy Goats,Moo Theft,Evening,Ocean Bed,Curious,Soda Spray,Nurse Bee
1,Nervous Pigs,Quack Fraud,Noon,Picnic Rug,Needed Milk,Sticky Net,DJ Whisker
3,Nervous Pigs,Sock Swap,Sunrise,Forest Den,New Trend,Taco Blade,Count Cluck
1,Bored Dogs,Leaf Scam,Dawn,Picnic Rug,Cold Feet,Taco Blade,Chef Floof
2,Cool Cats,Quack Fraud,Tea Time,Barn Roof,Cold Feet,Fork Dart,Agent Leaf
4,Happy Goats,Pie Theft,Evening,Picnic Rug,Felt Blue,Soda Spray,Chef Floof
3,Bored Dogs,Sock Swap,Twilight,Flower Lot,Bored,Cheese Ray,Farmer Zoom
2,Lazy Cows,Moo Theft,Noon,Sand Pit,Felt Blue,Bread Bomb,Sir Bark
3,Worried Fish,Honey Heist,Sunrise,Pond Bank,Curious,Banana Mic,DJ Whisker
4,Angry Duck,Sock Swap,Noon,Pond Bank,New Trend,Feather Pen,Nurse Bee
4,Happy Goats,Sock Swap,Dawn,Forest Den,Cold Feet,Sticky Net,Farmer Zoom
3,Angry Duck,Mud Trick,Tea Time,Barn Roof,Felt Blue,Soda Spray,DJ Whisker
2,Worried Fish,Honey Heist,Noon,Forest Den,Too Sweet,Bubble Gun,Count Cluck
1,Happy Goats,Sock Swap,Twilight,Ocean Bed,Cold Feet,Bread Bomb,Agent Leaf
2,Happy Goats,Mud Trick,Snack Time,Picnic Rug,Hungry,Melon Wand,Bear Hug
1,Nervous Pigs,Quack Fraud,Evening,Forest Den,Lost Bet,Taco Blade,Kid Scout
4,Chill Frogs,Jazz Theft,Noon,Sand Pit,New Trend,Banana Mic,Nurse Bee
1,Lazy Cows,Pie Theft,Twilight,Ocean Bed,Too Sweet,Bread Bomb,Kid Scout
1,Angry Duck,Sock Swap,Dawn,Flower Lot,Hungry,Feather Pen,Chef Floof
5,Cool Cats,Sock Swap,Dawn,Barn Roof,Wanted Fame,Taco Blade,Count Cluck
2,Drunk Ants,Jazz Theft,Midnight,Cloud City,Hungry,Soda Spray,Count Cluck
4,Happy Goats,Jazz Theft,Snack Time,Mud Field,Curious,Sticky Net,Bear Hug
1,Sleepy Bees,Mud Trick,Tea Time,Mud Field,Lost Bet,Bread Bomb,Farmer Zoom
2,Chill Frogs,Sock Swap,Evening,Forest Den,Cold Feet,Feather Pen,Nurse Bee
4,Nervous Pigs,Honey Heist,Noon,Flower Lot,Bored,Bubble Gun,Agent Leaf
1,Angry Duck,Quack Fraud,Sunrise,Pond Bank,Wanted Fame,Bubble Gun,Nurse Bee
1,Chill Frogs,Moo Theft,Dawn,Forest Den,Curious,Bread Bomb,Chef Floof
5,Happy Goats,Pie Theft,Evening,Forest Den,Hungry,Bread Bomb,Sir Bark
1,Cool Cats,Crumb Raid,Tea Time,Picnic Rug,New Trend,Soda Spray,Sir Bark
1,Worried Fish,Sock Swap,Lunch,Ocean Bed,Felt Blue,Bread Bomb,Bear Hug
1,Happy Goats,Mud Trick,Noon,Sand Pit,Felt Blue,Cheese Ray,Bear Hug
