epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3185,1.44486,4.12362,1.11939,0.00273,0.81972,0.31849,0.21021,1.06482,4.32588,0.96588,0.00015003,0.00015003,0.00015003
2,68.8488,1.26752,2.7385,1.05302,0.00333,0.99306,0.19258,0.13875,1.11575,4.40542,0.97938,0.000313594,0.000313594,0.000313594
3,102.152,1.26699,2.1791,1.03964,0.00327,0.97917,0.11507,0.07987,1.20772,4.34016,1.07481,0.000473858,0.000473858,0.000473858
4,135.913,1.15752,1.97914,1.07992,0.00304,0.89583,0.163,0.11955,1.10838,4.3381,1.04286,0.000630821,0.000630821,0.000630821
5,169.474,1.09696,1.67967,1.02693,0.00203,0.56278,0.11692,0.08447,0.98096,4.12673,0.98126,0.000784484,0.000784484,0.000784484
6,203.418,1.08102,1.82686,1.01626,0.00195,0.5625,0.02683,0.01759,0.99616,4.0391,1.04494,0.000934845,0.000934845,0.000934845
7,237.766,1.14912,1.70174,1.07559,0.02836,0.26854,0.03227,0.02409,0.98014,3.94985,1.00887,0.00108191,0.00108191,0.00108191
8,273.477,1.13816,1.88908,1.06017,0.5,0.06528,0.45289,0.33808,1.03082,3.70342,1.02513,0.00122567,0.00122567,0.00122567
9,307.718,1.17919,1.52495,1.07849,0.99227,0.49476,0.9578,0.67676,0.98532,2.99466,0.99535,0.00136613,0.00136613,0.00136613
10,343.275,1.14935,1.53658,1.03366,0.97548,0.60537,0.96244,0.69515,1.01433,2.58017,1.04303,0.00150329,0.00150329,0.00150329
11,377.557,1.14716,1.56962,1.05856,0.98105,0.91615,0.99198,0.71987,0.99887,2.21605,1.04244,0.00150197,0.00150197,0.00150197
12,411.684,1.16477,1.47835,1.07865,0.98596,0.94201,0.99237,0.69557,1.09304,1.9967,1.09836,0.00148546,0.00148546,0.00148546
13,445.116,1.12711,1.32607,1.05224,0.99257,0.97618,0.99255,0.7223,1.00204,1.50576,1.05609,0.00146896,0.00146896,0.00146896
14,478.575,1.06725,1.3427,1.03271,0.99548,0.99306,0.99439,0.73089,1.01945,1.56963,1.03487,0.00145246,0.00145246,0.00145246
15,512.114,1.10097,1.37686,1.07386,0.99885,0.99949,0.995,0.71657,0.97607,1.29256,1.0089,0.00143595,0.00143595,0.00143595
16,544.921,1.03666,1.23812,1.02117,0.95849,0.99829,0.99065,0.70701,1.03307,1.28703,1.05988,0.00141945,0.00141945,0.00141945
17,578.088,0.96311,1.12224,0.97473,0.97279,1,0.99295,0.74664,0.93307,1.19342,1.01094,0.00140295,0.00140295,0.00140295
18,611.268,0.98534,1.04765,0.99292,0.98902,1,0.99493,0.75239,0.90112,1.06392,0.98876,0.00138644,0.00138644,0.00138644
19,645.4,1.04139,1.11876,1.02615,0.98834,1,0.99473,0.74646,0.9304,1.11879,1.00686,0.00136994,0.00136994,0.00136994
20,689.776,1.08452,1.12705,1.08983,0.99156,1,0.99493,0.77984,0.86579,1.12543,0.99807,0.00135344,0.00135344,0.00135344
21,734.663,1.01321,1.14575,1.056,0.99843,1,0.995,0.76661,0.90449,1.09261,1.0043,0.00133693,0.00133693,0.00133693
22,775.098,0.94658,0.96847,0.99777,0.99292,1,0.995,0.76497,0.87268,1.04423,0.99777,0.00132043,0.00132043,0.00132043
23,815.209,0.95982,0.96507,1.00754,0.99676,1,0.995,0.7795,0.83502,0.96072,0.96972,0.00130393,0.00130393,0.00130393
24,855.908,0.95189,0.92078,0.99206,0.98852,1,0.99493,0.7703,0.85765,0.96952,0.97606,0.00128742,0.00128742,0.00128742
25,898.265,0.98312,0.8799,1.00961,0.99818,0.99598,0.995,0.78271,0.80736,0.91616,0.954,0.00127092,0.00127092,0.00127092
26,939.101,0.92603,0.89434,0.9659,0.99497,1,0.995,0.7868,0.82022,0.86566,0.96343,0.00125442,0.00125442,0.00125442
27,979.677,0.98386,0.89652,1.03095,0.99616,1,0.995,0.8088,0.76624,0.83257,0.94439,0.00123791,0.00123791,0.00123791
28,1019.97,0.88541,0.87125,0.99312,0.99779,1,0.995,0.78967,0.79135,0.83944,0.95982,0.00122141,0.00122141,0.00122141
29,1062.65,0.87267,0.82602,0.96016,0.99812,0.99935,0.995,0.79522,0.78866,0.81858,0.95652,0.00120491,0.00120491,0.00120491
30,1104.49,0.91065,0.8492,0.99817,0.9963,1,0.995,0.8096,0.7308,0.78745,0.93449,0.0011884,0.0011884,0.0011884
31,1146.32,0.87006,0.81094,0.99442,0.99888,1,0.995,0.78256,0.79449,0.80418,0.95894,0.0011719,0.0011719,0.0011719
32,1188.77,0.90732,0.79081,0.96086,0.99602,1,0.995,0.81104,0.72371,0.80761,0.93038,0.0011554,0.0011554,0.0011554
33,1230,0.89131,0.73893,0.96915,0.99806,1,0.995,0.81829,0.71801,0.76151,0.92624,0.00113889,0.00113889,0.00113889
34,1271.85,0.90005,0.78012,0.98734,0.99643,1,0.995,0.81626,0.70968,0.70909,0.923,0.00112239,0.00112239,0.00112239
35,1311.87,0.88246,0.72175,0.95741,0.99779,1,0.995,0.81435,0.69954,0.67352,0.91684,0.00110589,0.00110589,0.00110589
36,1352.44,0.8302,0.70948,0.95001,0.99718,1,0.995,0.80458,0.77835,0.69814,0.93806,0.00108938,0.00108938,0.00108938
37,1393.04,0.84316,0.7075,0.9462,0.99751,1,0.995,0.81765,0.72671,0.67375,0.9273,0.00107288,0.00107288,0.00107288
38,1434.34,0.83559,0.66846,0.95581,0.99679,1,0.995,0.80457,0.76995,0.6888,0.95093,0.00105638,0.00105638,0.00105638
39,1474.89,0.83219,0.66639,0.92174,0.9985,1,0.995,0.79799,0.78274,0.67722,0.9582,0.00103987,0.00103987,0.00103987
40,1515.28,0.85823,0.66941,0.96287,0.99573,1,0.995,0.81424,0.72374,0.63907,0.93446,0.00102337,0.00102337,0.00102337
41,1555.72,0.86492,0.66851,0.96706,0.99461,1,0.995,0.80616,0.76454,0.64767,0.94187,0.00100687,0.00100687,0.00100687
42,1595.86,0.82168,0.66393,0.94405,0.99769,1,0.995,0.83489,0.67951,0.59376,0.89819,0.000990365,0.000990365,0.000990365
43,1636.61,0.81681,0.63881,0.94639,0.99745,1,0.995,0.83963,0.65224,0.57909,0.90077,0.000973861,0.000973861,0.000973861
44,1676.63,0.79703,0.69319,0.93405,0.99834,1,0.995,0.83674,0.65454,0.56505,0.89542,0.000957358,0.000957358,0.000957358
45,1718.18,0.79589,0.6283,0.92735,0.99778,1,0.995,0.8565,0.61634,0.55911,0.87954,0.000940855,0.000940855,0.000940855
46,1758.87,0.80559,0.64408,0.93968,0.99171,1,0.995,0.79357,0.76533,0.59357,0.93364,0.000924352,0.000924352,0.000924352
47,1799.5,0.81205,0.6598,0.9423,0.99912,1,0.995,0.84353,0.63274,0.53989,0.87632,0.000907848,0.000907848,0.000907848
48,1840.12,0.84617,0.61055,0.9392,0.99891,1,0.995,0.80672,0.7742,0.5487,0.92044,0.000891345,0.000891345,0.000891345
49,1880.63,0.79151,0.59372,0.93907,0.99832,1,0.995,0.82985,0.71156,0.55066,0.91577,0.000874842,0.000874842,0.000874842
50,1922.73,0.7981,0.57754,0.91244,0.99844,1,0.995,0.85443,0.60962,0.53566,0.88287,0.000858338,0.000858338,0.000858338
51,1964.49,0.74125,0.58164,0.91726,0.99788,1,0.995,0.85327,0.63575,0.5338,0.88436,0.000841835,0.000841835,0.000841835
52,2004.79,0.74735,0.57538,0.91826,0.99624,0.99975,0.995,0.8584,0.61998,0.51905,0.88206,0.000825332,0.000825332,0.000825332
53,2045.04,0.77347,0.56406,0.92726,0.99755,1,0.995,0.84674,0.64901,0.52058,0.89564,0.000808828,0.000808828,0.000808828
54,2085.16,0.75798,0.58908,0.93533,0.99836,1,0.995,0.86875,0.58252,0.51473,0.87692,0.000792325,0.000792325,0.000792325
55,2125.43,0.68797,0.54273,0.91833,0.99842,1,0.995,0.8701,0.56053,0.49339,0.87006,0.000775822,0.000775822,0.000775822
56,2165.78,0.7049,0.55633,0.92018,0.99871,1,0.995,0.87278,0.57807,0.49348,0.87242,0.000759318,0.000759318,0.000759318
57,2205.76,0.71868,0.52813,0.91047,0.99905,1,0.995,0.85411,0.60789,0.48816,0.88296,0.000742815,0.000742815,0.000742815
58,2245.65,0.69784,0.53929,0.8905,0.99818,1,0.995,0.85876,0.61891,0.49194,0.88844,0.000726312,0.000726312,0.000726312
