epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8015,1.22607,3.72307,1.111,0.00375,0.81818,0.63675,0.52689,0.75893,3.22292,0.9159,0.00012,0.00012,0.00012
2,32.2633,0.9447,2.3766,0.97746,0.00375,0.81818,0.73628,0.53587,0.85368,3.12029,0.92208,0.000257426,0.000257426,0.000257426
3,47.7539,0.94121,1.82237,1.05005,0.00375,0.81818,0.73435,0.57454,0.73734,3.23231,0.9251,0.00039208,0.00039208,0.00039208
4,63.2669,0.90954,1.54038,1.00177,0.00375,0.81818,0.63948,0.50388,0.73105,3.14718,0.9289,0.000523962,0.000523962,0.000523962
5,78.7796,0.9289,1.49728,0.97686,0.00375,0.81818,0.60327,0.42156,0.89581,3.31873,0.98568,0.000653072,0.000653072,0.000653072
6,94.1468,0.86591,1.3689,0.9419,0.00417,0.90909,0.55972,0.42049,0.90172,3.43144,1.03544,0.00077941,0.00077941,0.00077941
7,110.245,0.8858,1.36734,1.01265,0.02074,0.09091,0.02764,0.02151,1.09031,3.74553,1.66126,0.000902976,0.000902976,0.000902976
8,125.558,0.91669,1.53753,1.00789,0.00375,0.81818,0.58216,0.44571,0.874,3.37968,1.09323,0.00102377,0.00102377,0.00102377
9,141.209,0.92433,1.47353,0.99769,1,0.30242,0.55738,0.42098,1.03744,3.23065,1.29759,0.00114179,0.00114179,0.00114179
10,157.541,0.88555,1.34511,0.99199,1,0.46616,0.60353,0.40511,1.12662,3.0102,1.28193,0.00125704,0.00125704,0.00125704
11,174.834,0.89846,1.39532,1.04527,1,0.44711,0.7935,0.56803,1.02342,2.8659,1.28381,0.00136952,0.00136952,0.00136952
12,190.313,0.877,1.29235,1.00539,1,0.41616,0.5992,0.48371,1.19635,3.04782,1.39732,0.00147923,0.00147923,0.00147923
13,205.769,0.87808,1.2581,1.00926,0.86887,0.60517,0.73921,0.5485,1.06686,2.36507,1.20706,0.00158616,0.00158616,0.00158616
14,221.14,0.89054,1.19005,0.98252,0.77261,0.72727,0.72205,0.53024,1.05566,2.24124,1.13747,0.00169032,0.00169032,0.00169032
15,236.631,0.84515,1.13054,0.95092,0.86861,0.63636,0.69138,0.52148,0.84992,1.98265,1.11399,0.0017228,0.0017228,0.0017228
