epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3198,1.22607,3.72307,1.111,0.00375,0.81818,0.63675,0.52689,0.75893,3.22292,0.9159,0.00012,0.00012,0.00012
2,33.6796,0.9447,2.3766,0.97746,0.00375,0.81818,0.73628,0.53587,0.85368,3.12029,0.92208,0.000257426,0.000257426,0.000257426
3,49.6375,0.94121,1.82237,1.05005,0.00375,0.81818,0.73435,0.57454,0.73734,3.23231,0.9251,0.00039208,0.00039208,0.00039208
4,65.5256,0.90954,1.54038,1.00177,0.00375,0.81818,0.63948,0.50388,0.73105,3.14718,0.9289,0.000523962,0.000523962,0.000523962
5,81.3322,0.9289,1.49728,0.97686,0.00375,0.81818,0.60327,0.42156,0.89581,3.31873,0.98568,0.000653072,0.000653072,0.000653072
6,97.2162,0.86591,1.3689,0.9419,0.00417,0.90909,0.55972,0.42049,0.90172,3.43144,1.03544,0.00077941,0.00077941,0.00077941
7,112.648,0.8858,1.36734,1.01265,0.02074,0.09091,0.02764,0.02151,1.09031,3.74553,1.66126,0.000902976,0.000902976,0.000902976
8,128.187,0.91669,1.53753,1.00789,0.00375,0.81818,0.58216,0.44571,0.874,3.37968,1.09323,0.00102377,0.00102377,0.00102377
9,144.105,0.92433,1.47353,0.99769,1,0.30242,0.55738,0.42098,1.03744,3.23065,1.29759,0.00114179,0.00114179,0.00114179
10,160.587,0.88555,1.34511,0.99199,1,0.46616,0.60353,0.40511,1.12662,3.0102,1.28193,0.00125704,0.00125704,0.00125704
11,177.279,0.89846,1.39532,1.04527,1,0.44711,0.7935,0.56803,1.02342,2.8659,1.28381,0.00136952,0.00136952,0.00136952
12,193.585,0.877,1.29235,1.00539,1,0.41616,0.5992,0.48371,1.19635,3.04782,1.39732,0.00147923,0.00147923,0.00147923
13,209.489,0.87808,1.2581,1.00926,0.86887,0.60517,0.73921,0.5485,1.06686,2.36507,1.20706,0.00158616,0.00158616,0.00158616
14,225.608,0.89054,1.19005,0.98252,0.77261,0.72727,0.72205,0.53024,1.05566,2.24124,1.13747,0.00169032,0.00169032,0.00169032
15,241.646,0.84515,1.13054,0.95092,0.86861,0.63636,0.69138,0.52148,0.84992,1.98265,1.11399,0.0017228,0.0017228,0.0017228
16,257.559,0.88228,1.09511,0.9877,0.9898,0.81818,0.87146,0.63217,0.91264,1.78175,1.09459,0.001703,0.001703,0.001703
17,273.457,0.87646,1.05497,1.023,0.81501,0.81818,0.83321,0.63766,0.91147,1.58182,1.10043,0.0016832,0.0016832,0.0016832
18,289.632,0.7752,1.01001,0.93299,0.89898,0.80985,0.84221,0.61936,1.07811,1.78901,1.31987,0.0016634,0.0016634,0.0016634
19,306.195,0.7515,0.91095,0.91311,0.99143,0.81818,0.89021,0.61675,1.10493,1.38951,1.39101,0.0016436,0.0016436,0.0016436
20,323.083,0.83041,1.02062,0.99064,0.89731,0.90909,0.88066,0.58065,1.07357,1.37858,1.25935,0.0016238,0.0016238,0.0016238
21,340.037,0.80714,0.97016,0.96194,0.99361,0.81818,0.87949,0.69155,0.86344,1.20296,1.06565,0.001604,0.001604,0.001604
22,356.987,0.78991,0.91802,0.97796,0.98568,0.72727,0.84384,0.63323,0.9486,1.11465,1.06527,0.0015842,0.0015842,0.0015842
23,374.189,0.75935,0.84142,0.96758,1,0.90342,0.90521,0.74794,0.76834,1.12635,1.02733,0.0015644,0.0015644,0.0015644
24,391.27,0.82319,0.89749,1.01324,0.95023,0.90909,0.90807,0.70943,0.88364,1.49875,1.07732,0.0015446,0.0015446,0.0015446
25,408.517,0.75891,0.79106,0.93761,1,0.90478,0.90625,0.69828,0.91361,1.34626,1.0869,0.0015248,0.0015248,0.0015248
26,425.881,0.70859,0.83988,0.97304,1,0.90434,0.90521,0.69994,0.86685,0.9751,1.08923,0.001505,0.001505,0.001505
27,443.266,0.74576,0.82935,0.93675,0.81144,0.81818,0.85313,0.64919,0.84268,0.89052,1.08692,0.0014852,0.0014852,0.0014852
28,460.747,0.69681,0.7644,0.93041,0.90823,0.90044,0.88884,0.67007,0.88466,0.89802,1.1231,0.0014654,0.0014654,0.0014654
29,477.943,0.69167,0.79175,0.94291,0.81123,0.90909,0.87221,0.67836,0.78321,0.99065,1.05948,0.0014456,0.0014456,0.0014456
30,495.221,0.68907,0.70767,0.93181,0.87024,0.72727,0.78654,0.61798,0.81081,1.23517,1.03253,0.0014258,0.0014258,0.0014258
31,512.632,0.77645,0.8192,0.96304,0.89338,0.81818,0.87544,0.68379,0.78572,0.92958,1.01715,0.001406,0.001406,0.001406
32,530.394,0.74951,0.72297,0.93197,0.83254,0.90434,0.88121,0.69838,0.72705,0.96626,1.02523,0.0013862,0.0013862,0.0013862
33,547.935,0.783,0.7606,0.96124,0.9083,0.90116,0.88884,0.69219,0.74877,0.94203,1.03064,0.0013664,0.0013664,0.0013664
34,565.756,0.73023,0.70033,0.91176,0.90883,0.90645,0.89703,0.70111,0.79151,0.85696,1.06018,0.0013466,0.0013466,0.0013466
35,583.338,0.71505,0.69153,0.95617,1,0.90882,0.90522,0.68505,0.83863,0.82028,1.04004,0.0013268,0.0013268,0.0013268
36,601.148,0.79404,0.71572,0.94223,0.99493,0.90909,0.90521,0.65076,0.87259,0.93283,1.07208,0.001307,0.001307,0.001307
37,618.743,0.68165,0.68538,0.91592,0.99218,0.90909,0.90521,0.64787,0.85871,0.94952,1.09133,0.0012872,0.0012872,0.0012872
38,636.6,0.67761,0.65439,0.91844,0.99913,0.90909,0.90523,0.67447,0.86853,0.82622,1.08328,0.0012674,0.0012674,0.0012674
39,654.394,0.65831,0.63918,0.91827,0.99196,0.81818,0.88448,0.67118,0.81091,0.71501,1.08355,0.0012476,0.0012476,0.0012476
40,672.792,0.66896,0.62804,0.9269,0.99141,0.81818,0.88449,0.70777,0.80575,0.72489,1.03966,0.0012278,0.0012278,0.0012278
41,690.915,0.64691,0.60701,0.91324,1,0.90296,0.90527,0.71647,0.77099,0.74531,1.02648,0.001208,0.001208,0.001208
42,708.074,0.65909,0.61712,0.91444,0.98423,0.90909,0.90527,0.70256,0.75373,0.7262,1.02369,0.0011882,0.0011882,0.0011882
43,724.769,0.77265,0.63331,1.00266,0.9955,0.90909,0.90532,0.72125,0.76635,0.71756,1.00583,0.0011684,0.0011684,0.0011684
44,741.314,0.67032,0.59273,0.93426,1,0.90382,0.90535,0.67326,0.79826,0.77598,0.99889,0.0011486,0.0011486,0.0011486
45,757.748,0.70583,0.61153,0.94677,0.98743,0.81818,0.89715,0.65074,0.82339,0.91717,1.01456,0.0011288,0.0011288,0.0011288
46,774.208,0.61571,0.5532,0.90039,0.97852,0.81818,0.89029,0.6601,0.91007,1.00082,1.05367,0.001109,0.001109,0.001109
47,790.847,0.67841,0.69257,0.93601,1,0.89841,0.90528,0.6733,0.88422,0.84906,1.04043,0.0010892,0.0010892,0.0010892
48,807.713,0.66613,0.57072,0.90924,0.9863,0.81818,0.89028,0.70465,0.83265,0.69722,1.02531,0.0010694,0.0010694,0.0010694
49,825.849,0.68954,0.57856,0.90999,0.9869,0.81818,0.8903,0.7271,0.8382,0.69607,1.05073,0.0010496,0.0010496,0.0010496
50,843.25,0.66596,0.57225,0.93251,0.90847,0.90909,0.89715,0.68888,0.87973,0.63666,1.06617,0.0010298,0.0010298,0.0010298
51,861.164,0.65044,0.54791,0.90224,0.99908,0.90909,0.90584,0.6719,0.87058,0.66438,1.07298,0.00101,0.00101,0.00101
52,878.831,0.66417,0.53313,0.93836,1,0.89607,0.90639,0.68551,0.82403,0.64727,1.05796,0.0009902,0.0009902,0.0009902
53,895.57,0.62607,0.53428,0.91214,0.90226,0.90909,0.89769,0.72314,0.75206,0.62285,1.02631,0.0009704,0.0009704,0.0009704
54,912.776,0.66275,0.56963,0.90123,0.90047,0.90909,0.88899,0.7005,0.70721,0.65485,0.99352,0.0009506,0.0009506,0.0009506
